Event,Swimmer,Time,Year
50 FREESTYLE  ,Travis McCauley ,24.32,2022-23
100 FREESTYLE  ,Andrea Cibrario ,54.21,2022-23
200 FREESTYLE  ,Kris Schultz ,02:01.78,2022-23
400 FREESTYLE  ,Ean Helmlinger ,04:23.99,2021-22
800 FREESTYLE  ,Ean Helmlinger ,09:06.77,2022-23
1500 FREESTYLE  ,Benjamin Dillon ,21:09.19,2020-21
100 BACKSTROKE  ,Andrea Cibrario  ,59.93,2022-23
200 BACKSTROKE  ,Jose Urdaneta ,02:16.44,2022-23
100 BREASTSTROKE  ,Luke Wintersgill  ,01:08.45,2022-23
200 BREASTSTROKE  ,Luke Wintersgill  ,02:31.70,2022-23
100 BUTTERFLY  ,Andrea Cibrario  ,58.95,2022-23
200 BUTTERFLY  ,Ryan Cunningham  ,02:22.54,2019-20
100 INDIVIDUAL MEDLEY  ,Austin Bacon  ,01:04.90,2018-19
200 INDIVIDUAL MEDLEY  ,Andrea Cibrario  ,02:12.49,2022-23
400 INDIVIDUAL MEDLEY  ,Andrea Cibrario  ,04:48.43,2022-23
200 FREESTYLE RELAY  ,Andrea Cibrario; Thomas Rose; Ean Helmlinger; Jack Cataneo,01:40.39,2022-23
400 FREESTYLE RELAY  ,Ean Helmlinger; Ryan Cunningham; Luke Wintersgill; Jack Cataneo,03:50.97,2021-22
800 FREESTYLE RELAY  ,Ean Helmlinger; Ryan Cunningham; Jonathan Taylor; Eric Wilbur,09:07.83,2021-22
200 MEDLEY RELAY  ,Jose Urdaneta; Luke Wintersgill; Andrea Cibrario; Jack Cataneo,01:51.20,2022-23
400 MEDLEY RELAY  ,Cullen Beach; Luke Wintersgill; Ryan Cunningham; Travis McCauley,04:15.17,2021-22
Updated 2/17/2023,,,